date,growth,VIX-std,redev-std,economics-std,monetary-std
1999/6/1,-0.006321708,0.250100489,0.335443744,-1.175801167,-0.616526309
1999/7/1,-0.004052092,0.880625441,0.049973135,-0.700666544,-0.09284141
1999/8/2,0.003550736,0.846879035,0.528894492,-1.118440044,-0.294311962
1999/9/1,-0.01328576,1.017387191,0.560282097,-1.003669863,-0.514384951
1999/10/1,-0.00489525,0.447250544,1.275554341,-1.096195488,-0.519653531
1999/11/1,-0.00760728,0.798923616,-0.087842219,-1.107748843,-0.653468352
1999/12/1,-0.000367657,0.880625441,-0.332973593,-0.663006,0.359085795
2000/1/3,-0.002982349,0.935685366,1.500071383,-1.021075712,-0.80468415
2000/2/1,-0.004276097,0.655057359,0.76560739,-1.189119973,-0.69939061
2000/3/1,-0.007313207,0.78649073,1.559390187,-0.880703808,-0.775496292
2000/4/3,-0.002149691,1.157701194,2.396736257,-0.988273532,-0.131461146
2000/5/1,-0.000785266,0.704788905,1.349064764,-0.628708179,0.010256654
2000/6/1,0.00117921,-0.025199138,0.362145749,-0.791271566,-0.105467597
2000/7/3,0.003410588,0.187936057,0.345803648,-1.122621637,-0.876432526
2000/8/1,-0.003792662,-0.504753327,-0.439782078,-1.262300069,-0.665954683
2000/9/1,0.00347317,0.157741904,0.020447042,-0.813735943,-0.2144797
2000/10/2,7.04E-05,0.701236652,1.457905685,-0.787420247,-0.415500241
2000/11/1,0.002983585,1.77046488,0.683500281,0.926654662,2.261748617
2000/12/1,0.007319236,1.273149425,1.541382148,0.556626533,1.979427744
2001/1/2,0.006238537,0.415280265,1.316972519,0.480980534,1.221404802
2001/2/1,0.002958333,1.539568419,0.397838172,0.570615546,1.313518339
2001/3/1,0.002991476,1.591076091,1.864239682,0.567048958,0.670983189
2001/4/2,0.007302171,1.029820077,2.03871458,0.174402072,1.043147223
2001/5/1,0.0066593,0.525400116,0.446141453,-0.145252389,0.334862025
2001/6/1,0.005344649,-0.110453216,-0.002417086,-0.726972987,-0.559491784
2001/7/2,0.002009651,0.3442352,0.657077243,-0.232308162,-0.088432758
2001/8/1,0.003521528,0.930356986,0.195870465,-0.496363583,-0.0749303
2001/9/4,0.00497868,2.17542175,2.573569079,3.237175592,5.344620972
2001/10/1,0.005433736,2.46493039,0.671112548,3.205006328,4.150101113
2001/11/1,-0.000174374,0.738535311,0.224745274,1.299439806,1.751934242
2001/12/3,-0.00616155,0.731430804,0.208547613,0.622129053,0.036653441
2002/1/2,-0.000140217,0.250100489,0.356123007,0.931848738,0.732182654
2002/2/1,-0.007785861,0.33890682,0.632644639,-0.309617623,-0.590849164
2002/3/1,-0.004498244,-0.405290236,0.28189575,-0.130285885,0.145092469
2002/4/1,-0.004298733,0.395742872,0.285286551,-0.62051441,-0.625659219
2002/5/1,-0.009532378,0.052950433,1.01080949,-0.300546593,0.147675891
2002/6/3,0.00235817,1.015611064,0.928120548,-0.346148013,-0.450770852
2002/7/1,-0.000197005,2.193183017,3.452479901,0.626122168,0.334701054
2002/8/1,-0.001006679,2.301526741,2.398796333,0.257614642,0.622688441
2002/9/3,0.003137951,3.553696011,1.983497055,0.93588846,1.427088285
2002/10/1,-0.005092795,2.035107747,2.650691226,0.266999783,0.442454665
2002/11/1,0.004798402,1.388597656,1.220992941,0.927928713,1.914486245
2002/12/2,-0.006721745,1.587523838,0.475373965,1.212927,1.200662162
2003/1/2,-0.002802448,2.040436127,1.417598121,1.939125051,1.315513328
2003/2/3,0.002089479,1.766912627,0.626566449,2.159243595,3.226840562
2003/3/3,0.007814987,1.681658549,1.698821047,2.604501119,3.516037853
2003/4/1,-0.000473925,0.271414008,0.590253453,0.822962285,1.03977161
2003/5/1,-0.000378979,-0.037632024,0.315435658,0.383779301,0.465452342
2003/6/2,-0.005926783,-0.028751391,0.256583638,-0.26361131,-0.458023048
2003/7/1,0.002544635,-0.034079771,0.230747346,-0.435608135,-0.731722529
2003/8/1,-0.00568598,-0.186826661,-0.327392567,-0.291521783,-0.178175667
2003/9/2,-0.000712066,0.539609129,0.198978716,-0.137827593,-0.696049159
2003/10/1,-0.007590278,-0.636186697,-0.195306809,-0.852426856,-1.036788803
2003/11/3,0.001125446,-0.597111911,-0.288429037,-0.976666843,-1.097714997
2003/12/1,-0.002646674,-0.243662713,-0.487469851,-0.719324959,-0.582799675
2004/1/2,-0.005250667,-0.542051986,-0.287953219,-0.193592996,-0.002186495
2004/2/2,0.005179587,-0.911486324,-0.546494013,-0.43988281,-0.709115961
2004/3/1,-0.003778545,-0.522514593,0.162746424,-0.865540556,-0.95060546
2004/4/1,-0.007580476,-0.442588895,-0.153683676,-0.986135767,-0.639427207
2004/5/3,0.008087163,-0.742754295,-0.283287838,-0.583402488,-0.033474363
2004/6/1,-0.0076611,-0.948784983,-0.476842485,-0.548393555,0.342818826
2004/7/1,-0.000306048,-0.774724574,-0.50021958,-0.950434195,-0.363204882
2004/8/2,-0.000696101,-0.780052954,-0.062175321,-0.792427349,0.00826486
2004/9/1,-0.009565376,-1.126397646,-0.516670502,-0.668652797,-0.397791123
2004/10/1,-0.00206877,-0.605992544,-0.157631143,-0.024697582,0.222827816
2004/11/1,-0.006808935,-1.144158912,-0.453464292,-0.637775159,-0.274047005
2004/12/1,-0.004691414,-1.135278279,-0.56371889,-1.468652428,-1.126714373
2005/1/3,-0.006429259,-1.21875623,-0.415830518,-0.869836086,-0.286716417
2005/2/1,0.000884739,-1.3501896,-0.361488143,-0.948612787,-1.079831767
2005/3/1,-0.001342019,-1.005621035,-0.438175454,-1.079683448,-0.893670657
2005/4/1,-0.001728643,-0.7765007,0.169464858,-0.8894661,-0.440171735
2005/5/2,-0.00395832,-1.135278279,-0.428889789,-0.717429659,-0.580814207
2005/6/1,0.001959964,-1.357294107,-0.679150683,-1.034238374,-0.566814768
2005/7/1,-0.001530312,-1.440772058,-0.588818271,-1.177373885,-0.648789134
2005/8/1,0.020067373,-1.257831016,-0.577846246,-1.11953161,-0.890953072
2005/9/1,-0.01284206,-1.378607626,-0.555353277,-0.414955889,0.549886692
2005/10/3,-0.009797342,-0.774724574,0.166105681,-0.959256322,-0.241947364
2005/11/1,-0.00571929,-1.353741854,-0.713037726,-1.228978202,-1.060630903
2005/12/1,-0.001205451,-1.351965727,-0.762059189,-1.02357283,-0.271272095
2006/1/3,-0.000418363,-1.195666584,-0.301614628,-0.92923636,-0.553015751
2006/2/1,-0.002559049,-1.304010308,-0.502241709,-0.992541463,-0.584588492
2006/3/1,-0.003761169,-1.472742337,-0.706367916,-1.193151819,-0.823259623
2006/4/3,0.00143576,-1.437219805,-0.565040023,-0.764559528,-0.625991614
2006/5/1,-0.003846645,-0.575798392,-0.135422663,-0.84782083,0.020948928
2006/6/1,-0.000120801,-1.172576938,0.259408532,-0.808584268,-0.058396209
2006/7/3,-0.003339795,-0.840441259,0.016445392,-0.728063192,0.435407833
2006/8/1,0.001751286,-1.309338688,-0.793775064,-0.729671819,0.681626592
2006/9/1,0.000371074,-1.367950867,-0.682228659,-1.487362935,-1.016324319
2006/10/2,0.001277834,-1.52425001,-0.812282472,-1.398543759,-0.998698555
2006/11/1,-0.009715035,-1.557996415,-0.622059758,-1.154630029,-0.79228407
2006/12/1,0.004726531,-1.442548185,-0.832578903,-1.488773973,-1.313955876
2007/1/3,-0.01079821,-1.64502662,-0.729579122,-1.063911954,-0.851561102
2007/2/1,-0.00136149,-0.756963308,0.09366409,-1.469297349,-1.145611212
2007/3/1,-0.007233468,-0.895501184,0.01224384,-1.052835991,-0.595488527
2007/4/2,-0.000436503,-0.970098503,-0.682325392,-1.413169135,-1.081673291
2007/5/1,6.19E-05,-1.177905318,-0.585981905,-1.13074708,-0.995626446
2007/6/1,-0.000461295,-0.613097051,-0.013037267,-1.1766258,-0.890144765
2007/7/2,-0.00126697,0.681699259,0.446805775,-1.495548174,-1.18058648
2007/8/1,-0.003822095,0.656833486,1.281009679,-0.595735776,0.926185435
2007/9/4,0.004878457,-0.298722638,0.254557742,-0.572613951,1.015028565
2007/10/1,-0.005649859,-0.204587927,0.024148185,-0.717830826,0.469053925
2007/11/1,0.000236223,0.566251028,1.543909427,-0.870802697,0.000887929
2007/12/3,0.002470771,0.500534343,0.482878923,-0.246014339,0.522505936
2008/1/2,0.002698376,1.157701194,1.284115544,1.423517627,2.450476774
2008/2/1,0.002669661,1.218089499,0.841532503,0.021499357,0.138356213
2008/3/3,0.007225345,1.052909723,1.822374939,0.064049702,1.136058819
2008/4/1,0.004630064,0.19681669,0.542615763,-0.337790972,-0.110672833
2008/5/1,0.001997415,-0.328916791,0.083559834,-0.560556703,-0.790182718
2008/6/2,0.004907588,0.758072704,0.734523511,-0.35275575,-0.740822812
2008/7/1,0.015440253,0.578683914,1.142827089,-0.258544438,0.004112026
2008/8/1,0.042989388,0.171950917,0.85532386,-0.529317402,-0.475114057
2008/9/2,-0.008457695,3.500412213,5.012124179,1.468546705,1.834396118
2008/10/1,0.012875793,7.141471794,8.007855131,2.83382017,1.488606082
2008/11/3,0.028780509,6.32267742,6.937541777,2.30239242,0.819989366
2008/12/1,0.022247151,3.608755937,4.356918665,1.109654343,0.322601507
2009/1/2,0.007182609,4.468401223,3.110134847,2.126602029,-0.388291295
2009/2/2,0.015023983,4.736596344,2.74095669,2.757427203,0.863300416
2009/3/2,0.007825841,4.34407236,4.207716645,1.506146544,-0.026338522
2009/4/1,0.010634546,2.987111618,1.975633556,0.326766314,-0.40253383
2009/5/1,0.003787068,1.640807636,1.807178258,0.198600994,-0.099012408
2009/6/1,-0.009922897,1.184343094,0.819664029,-0.206195445,-0.863428512
2009/7/1,-0.009491629,1.107969649,0.828033137,0.133150018,-0.819441029
2009/8/3,-0.007297595,1.123954788,0.324520322,-0.422729875,-0.828946373
2009/9/1,-0.003583158,1.052909723,0.192426222,-0.53458309,-0.400189387
2009/10/1,-0.003848565,1.955182049,0.963029928,-0.678802004,-1.095036309
2009/11/2,-0.003338132,0.857535795,0.229124556,0.059836393,0.240992975
2009/12/1,-0.012119975,0.35489196,-0.384231412,0.266380406,-0.401965729
2010/1/4,-0.002646795,0.877073187,0.334700133,0.83482407,0.225680653
2010/2/1,-0.007555558,-0.032303645,0.538237059,0.722900642,-0.247750026
2010/3/1,-0.003936341,-0.37154383,-0.751732276,-0.087545142,-0.854900175
2010/4/1,-0.015479689,0.420608645,0.166034085,-0.587801203,-0.896237038
2010/5/3,-0.002265868,2.200287523,2.219702918,0.006675538,-0.683062137
2010/6/1,-0.006282465,2.6389908,1.447111446,0.336587508,0.125638529
2010/7/1,-0.002838009,0.678147005,0.740562904,1.36212011,1.106348056
2010/8/2,-0.002631987,1.131059295,0.487046931,0.921570675,0.665246987
2010/9/1,0.003105521,0.713669538,0.245915769,1.948648824,0.231343696
2010/10/1,-0.001975574,0.269637882,-0.289819074,2.411034552,0.246210801
2010/11/1,-0.008443646,0.685251512,0.132065774,1.25469628,0.344094015
2010/12/1,-0.000249458,-0.343125804,-0.596828193,0.914782288,-0.300875149
2011/1/3,0.005531812,-0.026975265,-0.377138003,0.484992209,-0.852380028
2011/2/1,-0.009916844,-0.236558206,-0.212689111,-0.003504169,-0.904445975
2011/3/1,0.004717656,-0.344901931,0.330841862,0.516265208,-0.411897823
2011/4/1,-0.003168393,-0.875963791,-0.580321992,0.00214383,-0.552933629
2011/5/2,-0.002349851,-0.751634928,-0.347069032,-0.444977487,-0.67483282
2011/6/1,-0.006379597,-0.561589379,0.351302241,0.20967988,-0.04565114
2011/7/1,-0.004863821,0.988969165,0.219862092,1.724999546,1.125992161
2011/8/1,-0.001020229,2.120361825,4.048166161,2.781215269,2.328714764
2011/9/1,-0.005136262,4.134489418,1.865370649,2.170332347,0.47865924
2011/10/3,-0.001102552,1.825524805,1.892575303,0.443421286,-0.325501344
2011/11/1,-0.003865667,1.441881454,2.099772736,0.36852037,-0.280810741
2011/12/1,-0.008527639,0.660385739,0.593707462,1.35603278,-0.10648922
2012/1/3,-0.003742403,-0.042960404,-0.620641053,0.845429708,-0.316133822
